"ID","Sex","Age","Province","Treatment","Pigmentation_analysis","var","value"
27,"Female","20-30","Central Province","None",TRUE,"length_median",3.1459035878218
27,"Female","20-30","Central Province","None",TRUE,"hair_count",17
27,"Female","20-30","Central Province","None",TRUE,"section_area_median",4395.84775086505
27,"Female","20-30","Central Province","None",TRUE,"section_area_mean",4311.87266435986
27,"Female","20-30","Central Province","None",TRUE,"section_area_sd",1101.85248709079
27,"Female","20-30","Central Province","None",TRUE,"section_eccentricity_median",0.746013238868149
27,"Female","20-30","Central Province","None",TRUE,"section_eccentricity_mean",0.76112382939392
27,"Female","20-30","Central Province","None",TRUE,"section_eccentricity_sd",0.0305462601788886
27,"Female","20-30","Central Province","None",TRUE,"section_min_median",61.1600323040079
27,"Female","20-30","Central Province","None",TRUE,"section_min_mean",59.4248893307918
27,"Female","20-30","Central Province","None",TRUE,"section_min_sd",9.51835055927991
27,"Female","20-30","Central Province","None",TRUE,"section_max_median",93.7774907149774
27,"Female","20-30","Central Province","None",TRUE,"section_max_mean",91.4326337406415
27,"Female","20-30","Central Province","None",TRUE,"section_max_sd",10.6327708908135
28,"Female","20-30","East Sepik/Milne Bay","Colour/Bleach",FALSE,"curv_mean",NA
28,"Female","20-30","East Sepik/Milne Bay","Colour/Bleach",FALSE,"curv_median",NA
28,"Female","20-30","East Sepik/Milne Bay","Colour/Bleach",FALSE,"length_mean",NA
28,"Female","20-30","East Sepik/Milne Bay","Colour/Bleach",FALSE,"length_median",NA
28,"Female","20-30","East Sepik/Milne Bay","Colour/Bleach",FALSE,"hair_count",NA
28,"Female","20-30","East Sepik/Milne Bay","Colour/Bleach",FALSE,"section_area_median",NA
28,"Female","20-30","East Sepik/Milne Bay","Colour/Bleach",FALSE,"section_area_mean",NA
28,"Female","20-30","East Sepik/Milne Bay","Colour/Bleach",FALSE,"section_area_sd",NA
28,"Female","20-30","East Sepik/Milne Bay","Colour/Bleach",FALSE,"section_eccentricity_median",NA
28,"Female","20-30","East Sepik/Milne Bay","Colour/Bleach",FALSE,"section_eccentricity_mean",NA
28,"Female","20-30","East Sepik/Milne Bay","Colour/Bleach",FALSE,"section_eccentricity_sd",NA
28,"Female","20-30","East Sepik/Milne Bay","Colour/Bleach",FALSE,"section_min_median",NA
28,"Female","20-30","East Sepik/Milne Bay","Colour/Bleach",FALSE,"section_min_mean",NA
28,"Female","20-30","East Sepik/Milne Bay","Colour/Bleach",FALSE,"section_min_sd",NA
28,"Female","20-30","East Sepik/Milne Bay","Colour/Bleach",FALSE,"section_max_median",NA
28,"Female","20-30","East Sepik/Milne Bay","Colour/Bleach",FALSE,"section_max_mean",NA
